class,pred_human,pred_background,total,human_acc,background_error
filling eyebrows,2,0,9,0.2222222222222222,0.0
flying kite,0,0,3,0.0,0.0
riding mountain bike,0,0,23,0.0,0.0
diving cliff,0,0,0,0.0,0.0
disc golfing,0,0,19,0.0,0.0
ski jumping,2,0,8,0.25,0.0
skiing slalom,0,0,2,0.0,0.0
snowmobiling,0,0,4,0.0,0.0
shooting goal (soccer),1,0,5,0.2,0.0
springboard diving,0,0,0,0.0,0.0
surfing crowd,5,0,8,0.625,0.0
